rank,uid,profile,start_date,end_date,name,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,countries,editors,hashtags
1,7245212,https://www.openstreetmap.org/user/LuxuryCoop,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,LuxuryCoop,38.0,15037.0,3213.0,8863.0,1131.0,615.0,1083.0,127.0,1.0,3.0,1.0,4.0,27.0,512.0,758.0,98.0,300.0,Turkey,JOSM/1.5 (18646 ko),"#turkey,#turkiye,#msfk23,#helpngo,#awsmapathon,#msfk,#TürkiyeEQ060223,#hotosm-project-14226"
2,12398465,https://www.openstreetmap.org/user/upscope,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,upscope,37.0,8577.0,6713.0,896.0,287.0,509.0,135.0,36.0,0.0,1.0,0.0,0.0,0.0,284.0,4.0,221.0,129.0,Turkey,RapiD 1.1.9-tm.1,"#turkey,#turkiye,#msfk23,#msfk,#hotosm-project-14218,#hotosm-project-14220,#hotosm-project-14262,#TürkiyeEQ060223,#yercizenler,#hotosm-project-14225"
3,15229898,https://www.openstreetmap.org/user/Palan%20Lee,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,Palan Lee,20.0,4733.0,4217.0,82.0,45.0,375.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,374.0,4.0,0.0,0.0,Chad,iD 2.21.1,"#MissingMaps,#Chad,#msfk23,#Silaregion,#hotosm-project-10468,#MSF,#msfk"
4,18415567,https://www.openstreetmap.org/user/Choe%20Gwanghyeon,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,Choe Gwanghyeon,20.0,4260.0,3008.0,260.0,299.0,601.0,27.0,64.0,1.0,0.0,0.0,0.0,0.0,579.0,7.0,20.0,15.0,"Syrian Arab Republic,Democratic Republic of the Congo,Turkey","iD 2.21.1,RapiD 1.1.9-tm.1","#turkey,#hotosm-project-14221,#helpngo,#hotosm-project-14232,#msf,#TürkiyeEQ060223,#2022DRC,#Syria,#Kisangani,#awsmapathon,#msfk,#AKDN,#missingmaps,#hotosm-project-12803,#yercizenler,#turkiye,#msfk23,#OMHAP,#hotosm-project-14226"
5,14618922,https://www.openstreetmap.org/user/MintLatte,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,MintLatte,31.0,4223.0,3230.0,392.0,63.0,474.0,52.0,12.0,0.0,0.0,0.0,0.0,0.0,404.0,2.0,70.0,50.0,Turkey,RapiD 1.1.9-tm.1,"#turkey,#turkiye,#msfk23,#hotosm-project-14235,#helpngo,#awsmapathon,#msfk,#hotosm-project-14262,#TürkiyeEQ060223,#yercizenler,#hotosm-project-14226"
6,18350279,https://www.openstreetmap.org/user/%EA%B9%80%EC%A7%84%EA%B2%BD,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,김진경,16.0,3630.0,3069.0,28.0,2.0,513.0,17.0,1.0,0.0,0.0,0.0,2.0,8.0,460.0,2.0,53.0,11.0,"Iraq,Syrian Arab Republic,Democratic Republic of the Congo,Turkey,Egypt","iD 2.21.1,RapiD 1.1.9-tm.1","#turkey,#helpngo,#hotosm-project-14232,#msf,#TürkiyeEQ060223,#2022DRC,#Syria,#hotosm-project-14260,#Kisangani,#awsmapathon,#msfk,#AKDN,#missingmaps,#hotosm-project-14282,#hotosm-project-12803,#hotosm-project-14281,#turkiye,#msfk23,#OMHAP,#hotosm-project-14226"
7,8379329,https://www.openstreetmap.org/user/Deuckchung,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,Deuckchung,20.0,2957.0,1383.0,1080.0,106.0,301.0,83.0,3.0,0.0,1.0,0.0,0.0,1.0,297.0,68.0,4.0,13.0,"Syrian Arab Republic,Turkey",JOSM/1.5 (18646 en),"#turkey,#turkiye,#MissingMaps,#northwestsyria2023,#Syria,#msfk23,#hotosm-project-14232,#missingmaps,#msfk,#AKDN,#hotosm-project-14213,#TürkiyeEQ060223,#hotosm-project-14245,#OMHAP,#yercizenler,#hotosm-project-14234"
8,18506074,https://www.openstreetmap.org/user/ENDFAB_90,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_90,14.0,2846.0,2673.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
9,18496589,https://www.openstreetmap.org/user/ENDFAB_%EB%B2%A0%EB%B2%A082,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_베베82,11.0,2805.0,2634.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#samsungelectronis,#msfk23,#missingmaps,#msfk,#msf,#HuilaProvince,#samsungelectronis23,#hotosm-project-14197"
10,18506135,https://www.openstreetmap.org/user/ENDFAB_%EB%A5%98%EC%83%81%EC%95%84,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_류상아,13.0,2309.0,2118.0,0.0,46.0,141.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
11,18507552,https://www.openstreetmap.org/user/%EB%82%A8%EA%B7%A0%EA%B9%80,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,남균김,15.0,1898.0,1776.0,4.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
12,18259307,https://www.openstreetmap.org/user/Ireneeom,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,Ireneeom,14.0,1809.0,1431.0,46.0,14.0,307.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,0.0,19.0,5.0,"Syrian Arab Republic,Lebanon,Democratic Republic of the Congo,Malaysia,Egypt",iD 2.21.1,"#hotosm-project-14158,#UNMappers,#DRC,#uinspireindonesia,#SAfloodmapping,#TürkiyeEQ060223,#hotosm-project-14293,#redcross,#Syria,#uinspire,#msfk,#MONUSCO,#samukm,#missingmaps,#hotosm-project-14246,#hotosm-project-13864,#OSMMalaysia,#MissingMaps_DRK,#hotosm-project-14239,#msfk23,#hotosm-project-14298,#grabmalaysia,#uinspiremalaysia,#OMHAP"
13,18498211,https://www.openstreetmap.org/user/ENDFAB_HH,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_HH,14.0,1680.0,1592.0,1.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
14,18455161,https://www.openstreetmap.org/user/c4ctu5,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,c4ctu5,3.0,1019.0,836.0,0.0,0.0,175.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,32.0,6.0,Syrian Arab Republic,iD 2.21.1,"#Syria,#msfk23,#msfk,#TürkiyeEQ060223,#hotosm-project-14245,#OMHAP"
15,18507307,https://www.openstreetmap.org/user/%EB%B0%95%EC%83%81%EC%A7%84%5E%5E,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,박상진^^,6.0,1000.0,950.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
16,18507364,https://www.openstreetmap.org/user/forest%20john,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,forest john,7.0,907.0,860.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
17,18415429,https://www.openstreetmap.org/user/socotra567118,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,socotra567118,7.0,757.0,682.0,3.0,1.0,67.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,52.0,4.0,Turkey,RapiD 1.1.9-tm.1,"#msfk23,#msfk,#hotosm-project-14218,#TürkiyeEQ060223,#yercizenler"
18,18498238,https://www.openstreetmap.org/user/ENDFAB_MA,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_MA,17.0,726.0,563.0,4.0,28.0,124.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
19,18507315,https://www.openstreetmap.org/user/ENDFAB_HI,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_HI,14.0,651.0,582.0,0.0,23.0,44.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#samsungelectrioncs,#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#HuilaProvince,#hotosm-project-14197"
20,18507312,https://www.openstreetmap.org/user/EF%EC%95%A0%EC%97%B0,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,EF애연,4.0,624.0,571.0,3.0,0.0,48.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
21,18496597,https://www.openstreetmap.org/user/ENDFAB_%ED%9D%AC%EB%A7%9D,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_희망,6.0,599.0,557.0,0.0,4.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
22,17327267,https://www.openstreetmap.org/user/MarigoldC,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,MarigoldC,1.0,591.0,267.0,267.0,5.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,1.0,Turkey,RapiD 1.1.9-tm.1,"#turkiye,#turkey,#msfk23,#msfk,#TürkiyeEQ060223,#yercizenler,#hotosm-project-14233"
23,18496695,https://www.openstreetmap.org/user/ENDFAB_%EC%9A%B0%EC%97%B0%EC%A7%84,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_우연진,5.0,578.0,549.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
24,18496638,https://www.openstreetmap.org/user/ENDFAB_%EC%A0%95%EC%84%9C%EB%B9%88,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_정서빈,9.0,499.0,426.0,8.0,19.0,44.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
25,18496658,https://www.openstreetmap.org/user/ENDFAB_%EB%B3%91%EC%A4%80,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_병준,12.0,480.0,411.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
26,18496989,https://www.openstreetmap.org/user/ENDFAB_%EB%8B%A4%EB%B9%88,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_다빈,2.0,469.0,444.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
27,18496783,https://www.openstreetmap.org/user/ENDFAB_%EB%AC%B8%EC%93%94,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_문쓔,7.0,468.0,413.0,4.0,19.0,28.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,Angola,iD 2.21.1,"#samsungelectronics23,#msfk23,#msfk,#samsungelectronics"
28,14473997,https://www.openstreetmap.org/user/iankim23,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,iankim23,5.0,430.0,291.0,45.0,20.0,68.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,4.0,"Democratic Republic of the Congo,Malawi",iD 2.21.1,"#hotosm-project-14210,#msfk23,#Kisangani,#malawicholeraoutbreak,#MangochiDistrict,#missingmaps,#hotosm-project-12803,#msf,#msfk,#2022DRC"
29,18507339,https://www.openstreetmap.org/user/U1_FAB%20%EA%B9%80%EB%AA%85%ED%9D%AC,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,U1_FAB 김명희,6.0,416.0,355.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
30,16323266,https://www.openstreetmap.org/user/kimjimin,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,kimjimin,5.0,361.0,202.0,86.0,18.0,49.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,6.0,Malawi,iD 2.21.1,"#hotosm-project-14210,#msfk23,#malawicholeraoutbreak,#MangochiDistrict,#missingmaps,#msfk,#msf"
31,18385014,https://www.openstreetmap.org/user/%EA%B9%80%EB%82%A8%EC%98%A4,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,김남오,12.0,338.0,279.0,0.0,4.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,"Chad,Niger",iD 2.21.1,"#MissingMaps,#hotosm-project-14157,#Chad,#msfk23,#msfk22,#Silaregion,#hotosm-project-10468,#missingmaps,#MSF,#IRSMagaria,#msfk,#msf"
32,18496650,https://www.openstreetmap.org/user/ENDFAB_%EB%8B%A4%EC%98%81,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_다영,5.0,330.0,306.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
33,18496598,https://www.openstreetmap.org/user/ENDFAB_%ED%98%84%EC%A4%80,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_현준,6.0,220.0,209.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
34,18505789,https://www.openstreetmap.org/user/ENDFAB_%EA%B9%80%ED%98%95%EB%B9%88,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_김형빈,6.0,217.0,202.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
35,18506917,https://www.openstreetmap.org/user/ENDFAB_%EC%86%A1%EC%9D%B4,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_송이,6.0,217.0,174.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
36,18496603,https://www.openstreetmap.org/user/ENDFAB_%EC%9D%B4%EB%8B%A4%EC%97%B0,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_이다연,4.0,212.0,200.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
37,18505699,https://www.openstreetmap.org/user/ENDFAB_%EC%A2%90%EB%8A%90,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_좐느,14.0,209.0,176.0,19.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#samsungelectronics23,#msfk23,#msfk,#samsungelectronics"
38,18506558,https://www.openstreetmap.org/user/ENDFAB_%EA%B9%80%EC%A0%95%EC%98%A5,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_김정옥,4.0,187.0,161.0,0.0,10.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
39,18382653,https://www.openstreetmap.org/user/Soyoung%20Cho,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,Soyoung Cho,1.0,181.0,144.0,0.0,0.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,0.0,Democratic Republic of the Congo,iD 2.21.1,"#msfk23,#Kisangani,#missingmaps,#msfk,#hotosm-project-12803,#msf,#2022DRC"
40,18507349,https://www.openstreetmap.org/user/%EC%86%90%EC%B0%BD%ED%9D%AC,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,손창희,3.0,165.0,137.0,0.0,0.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
41,18496669,https://www.openstreetmap.org/user/ENDFAB_%ED%9E%88%ED%8A%B8%ED%83%9D,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_히트택,7.0,163.0,142.0,4.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
42,18507355,https://www.openstreetmap.org/user/ENDFAB_%EC%B5%9C%EC%97%B0%EC%84%B1,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_최연성,3.0,160.0,149.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
43,18496900,https://www.openstreetmap.org/user/ENDFAB_%EC%95%88%EC%A0%84,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_안전,3.0,140.0,133.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
44,18496774,https://www.openstreetmap.org/user/ENDFAB_%EA%B9%80%EC%98%81%EC%9D%80,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_김영은,5.0,136.0,126.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
45,18496898,https://www.openstreetmap.org/user/ENDFAB_EJ,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_EJ,4.0,132.0,108.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
46,18543348,https://www.openstreetmap.org/user/jungyouth,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,jungyouth,3.0,111.0,78.0,12.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,3.0,"Syrian Arab Republic,Turkey",iD 2.21.1,"#MissingMaps,#Syria,#msfk23,#hotosm-project-14232,#msfk,#hotosm-project-14246,#AKDN,#TürkiyeEQ060223,#hotosm-project-14245,#OMHAP"
47,16321743,https://www.openstreetmap.org/user/Soo721,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,Soo721,5.0,101.0,65.0,0.0,28.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
48,18496674,https://www.openstreetmap.org/user/ENDFAB_MJ,2023-01-31 15:00:00+00:00,2023-02-28 15:00:00+00:00,ENDFAB_MJ,2.0,100.0,91.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Angola,iD 2.21.1,"#msfk23,#samsungelectronics23,#missingmaps,#msfk,#msf,#samsungelectronics,#HuilaProvince,#hotosm-project-14197"
