timestamp,users,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,editors
2023-09-04,1.0,21.0,1555.0,744.0,455.0,148.0,145.0,33.0,28.0,1.0,0,1.0,0,0.0,144.0,15.0,1.0,17.0,"{""id"": 1555}"
2023-09-06,1.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,"{""id"": 5}"
2023-09-09,1.0,24.0,2185.0,698.0,886.0,380.0,146.0,24.0,51.0,0.0,0,0.0,0,0.0,146.0,9.0,0.0,14.0,"{""id"": 2185}"
2023-09-10,2.0,12.0,2224.0,1028.0,712.0,338.0,69.0,37.0,40.0,0.0,0,0.0,0,0.0,69.0,28.0,0.0,8.0,"{""id"": 2103, ""josm"": 121}"
2023-09-12,1.0,2.0,120.0,96.0,0.0,0.0,24.0,0.0,0.0,0.0,0,0.0,0,0.0,24.0,0.0,0.0,0.0,"{""id"": 120}"
2023-09-13,1.0,4.0,178.0,142.0,0.0,0.0,34.0,2.0,0.0,0.0,0,0.0,0,0.0,34.0,0.0,0.0,2.0,"{""id"": 178}"
2023-09-16,1.0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,"{""rapid"": 6}"
2023-09-17,20.0,412.0,20984.0,15002.0,1178.0,1160.0,3288.0,118.0,237.0,1.0,0,0.0,0,2.0,3287.0,73.0,0.0,17.0,"{""id"": 16987, ""josm"": 3992, ""rapid"": 5}"
2023-09-18,1.0,2.0,13.0,10.0,0.0,0.0,2.0,1.0,0.0,0.0,0,0.0,0,0.0,2.0,0.0,0.0,1.0,"{""id"": 13}"
2023-09-22,1.0,1.0,50.0,40.0,0.0,0.0,10.0,0.0,0.0,0.0,0,0.0,0,0.0,10.0,0.0,0.0,0.0,"{""id"": 50}"
2023-09-23,6.0,50.0,4621.0,4074.0,1.0,0.0,542.0,4.0,0.0,0.0,0,0.0,0,0.0,542.0,1.0,0.0,3.0,"{""id"": 4621}"
2023-09-26,1.0,2.0,55.0,44.0,0.0,0.0,11.0,0.0,0.0,0.0,0,0.0,0,0.0,11.0,0.0,0.0,0.0,"{""id"": 55}"
