timestamp,users,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,editors
2023-05-01,1.0,4.0,230.0,202.0,11.0,1.0,4.0,12.0,0.0,0,0,0,0,0,0.0,0.0,4.0,11.0,"{""josm"": 230}"
2023-05-02,3.0,3.0,430.0,4.0,407.0,0.0,1.0,7.0,11.0,0,0,0,0,0,1.0,0.0,0.0,7.0,"{""id"": 412, ""josm"": 18}"
2023-05-03,1.0,2.0,257.0,230.0,3.0,0.0,12.0,8.0,4.0,0,0,0,0,0,2.0,0.0,10.0,8.0,"{""josm"": 257}"
2023-05-04,3.0,18.0,945.0,667.0,16.0,96.0,136.0,4.0,26.0,0,0,0,0,0,134.0,0.0,2.0,2.0,"{""id"": 909, ""josm"": 36}"
2023-05-05,1.0,1.0,186.0,0.0,186.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,"{""id"": 186}"
2023-05-06,1.0,6.0,359.0,290.0,0.0,0.0,69.0,0.0,0.0,0,0,0,0,0,69.0,0.0,0.0,0.0,"{""id"": 359}"
2023-05-10,2.0,15.0,911.0,599.0,198.0,0.0,113.0,1.0,0.0,0,0,0,0,0,113.0,1.0,0.0,0.0,"{""id"": 911}"
2023-05-11,1.0,1.0,61.0,48.0,1.0,0.0,11.0,1.0,0.0,0,0,0,0,0,11.0,1.0,0.0,0.0,"{""id"": 61}"
2023-05-12,1.0,1.0,24.0,21.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0,"{""id"": 24}"
2023-05-13,1.0,1.0,10.0,8.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,2.0,0.0,0.0,0.0,"{""id"": 10}"
2023-05-15,1.0,1.0,45.0,39.0,3.0,0.0,3.0,0.0,0.0,0,0,0,0,0,3.0,0.0,0.0,0.0,"{""id"": 45}"
2023-05-16,1.0,1.0,99.0,65.0,20.0,0.0,14.0,0.0,0.0,0,0,0,0,0,14.0,0.0,0.0,0.0,"{""id"": 99}"
2023-05-17,1.0,7.0,308.0,258.0,0.0,0.0,50.0,0.0,0.0,0,0,0,0,0,50.0,0.0,0.0,0.0,"{""id"": 308}"
2023-05-24,4.0,15.0,920.0,730.0,8.0,23.0,157.0,0.0,2.0,0,0,0,0,0,157.0,0.0,0.0,0.0,"{""id"": 920}"
2023-05-28,1.0,3.0,389.0,327.0,0.0,0.0,62.0,0.0,0.0,0,0,0,0,0,62.0,0.0,0.0,0.0,"{""id"": 389}"
2023-05-31,1.0,9.0,474.0,401.0,0.0,0.0,72.0,1.0,0.0,0,0,0,0,0,72.0,0.0,0.0,1.0,"{""id"": 474}"
